#### Starry Messenger Updates

##### In Warp Speed
| Request | Status |
| Please create a new view called Fishy Pond that replicates the fishy pond game example in the Processing Examples folder. When the player uses the crank, move a bubble maker back and forth the bottom of the screen, then when the player presses A, create a bubble. On screen, always start with a fish that wanders the screen, and the player can use the D Pad to move the fish around and pop the bubbles when it makes contact. In the main menu, if Fish Pond is selected and the user uses the right D pad, change the game mode to "Fishy Bubbles" mode just like the first mode except each bubble the player pops should bring in another fish and eventually this will make a school of fish that float around in schools freely. Then add another mode called "Fishy Tank" where about 20 fish spawn in and just float around. When the crank is used, move influence the current of the fish and shift them either up or down, and if the play.date is shaken, make all the fish swim around in a fast panic in every direction randomly. Once it settles down a second later, resume the fish's natural swimming and wandering just as designed in the example game. Like the other games, when the mode is selected, start the game in the background. If the player selects away end the game. Ensure all views are accessible via the main menu's rotational dial. | Done |
| Please move the bubble maker back and forth when not in use. Also please make bubbles continuously spawn if the player is holding A down. Also please make the fishy in the main mode move back and forth to the closest bubble to pop it after the bubble maker is moved. Remove the bubble around the fish's head, and add a Fish Spawn Mode menu item so A alternates between spawning a bubble and popping it into a fish, disables fish bubble hunting while on, re-enables it while off, and delays new fish schooling by a few seconds. | Done |
| Please make a new independent game called "Fishy Pond Idle" that's a copy of the original view of Fishy Pond. The player would then add to the bubbles for the fish and accumulate a currency that will be used in future. | Done |
| In Fishy Pond, make the bubbles spawn on top of the bubbling vent effect so one pop overlaps while the bubble rises. | Done |
| In Fishy Pond, stop the bubble-maker autopilot so the bubble popper is only controlled by the crank during play. | Done |
| In Fishy Pond, make the fish a little faster so it can catch bubbles better and make it point in the direction it is moving. | Done |
| Make Fishy Pond Idle a mode on the Fishy Pond title selector instead of a separate main-menu view. | Done |

##### Fireworks
| Request | Status |
| --- | --- |
| Please create a new view called Fireworks. Replicate the Firework V1 game as closely as possible, but with simpler controls as shown below. In firework mode, if the player presses the A button, shoot off a firework from a controllable firework launching square that moves side to side with the crank. Ensure the user can spam A and send off a ton of fireworks. Otherwise naturally randomly send off fireworks from around the bottom of the screen randomly. Ensure there is a configurable limit that we can change in development to easily tweak for performance. Ensure there's also an upper limit of firework sparks that explode from a given firework, and a variable for the lifespan of those spark. This would dictate how far away they explode. Please replicate the three different types of fireworks that currently exist in Fireworks V 1. | Done |
| Please make the random fireworks spawn between every 3-10 seconds. Also please make the left and right buttons on the D pad move the player left and right, plus allow the user to change firework type with the up and down arrows. | Done |
| Please ensure the fireworks fire freely like the bubbles when the player holds down A. | Done |
| In both Fireworks and in the fish game for the controllable bubble blower, please let the player move out off the screen and respawn on the other side of the screen. It would loop continuous. | Done |
| For each game, when selected, provide a menu showing the mapping of the keys line by line. Ensure they are adjusted as we change. Ensure the D pad buttons, A, B, and the crank describe each, and also ensure that if it's a button with different modes like Fish tank, list those. | In Progress |

##### RC Arena
| Request | Status |
| --- | --- |
| Please make a game where the user controls a tiny RC car that chases little sliding blocks around the floor, with tweakable slide and car-speed variables, off-screen block respawns that jump in, and a car that wraps from a full car length off-screen. | Done |
| Make another RC Arena mode that is multiplayer-inspired and lets two cars crash into each other and kick the squares off the board. | Done |
| Make another RC Arena mode based on that where the players are in a hockey ring with small pucks and the objective is to have the least number of pucks in your own net. | Done |

##### Lava Lamp
| Request | Status |
| --- | --- |
| Please add a play date view that makes the screen a lava lamp. Have a dark background, but bubbly, liquid goop like bubbles liquid-like move up the screen slowly and such. | Done |
| Use the Playdate's 3-axis accelerometer to detect when the user turns the device. Make the bubbles always goop to the top or bottom respective of their position. Also, please add another click setting to the A button that will make the rotation continue freely. If the button is pressed again, stop the rotation and go to the next setting (speed). | Done |
| For the lava lamp, please spawn a set number of bubbles limit their ability to go off screen so they collect at the top. Then when the crank is turned, push all the bubbles down at a variable rate for each, so if the play date is oriented up and the user cranks down, each bubble would randomly bump down between 2-4 pixels per crank. When the bubbles settle at the top, when all the bubbles conjoin at the top and the player is pulling the bubbles down with the crank, split the bubbles every other crank again and again. | Done |
| When the crank is not in use and the bubble has absorbed all bubbles, every 3 seconds, split the bubbles and send the new bubbles down the opposite direction until they all collect again and repeat. Interrupt when the device is oriented differently, and rotate the bottom of the downward dropping bubbles and the top of the upward drifting bubbles. | In Progress |
| In the lava lamp, please make the blobs circular. If they are a combined blob, make it a little bigger. Do not make them move back and forth. They should only float upwards like a natural bubble. | Done |
| In the Lava Lamp, when the crank is turned down, move the bubbles opposite of their current direction. Also add a threshold to the accelerometer so it is less reactive to micro movements and responds more to intentional device turns. | Done |

##### General Updates
| Request | Status |
| --- | --- |
| Fix the `Review Life` crash when entering gameplay from the title menu by hardening Game of Life recording-directory migration and file-list loading. | Done |
| Adjust the title menu order so Warp Speed still loads first, Star Fall sits above it, and Multiplayer sits directly below Star Fall. | Done |
| In CRT TV, let crank input spawn and control a random-sized wraparound manual bar that drifts off when idle, and pre-render the CRT title preview frames during startup so the title uses cached playback images. | Done |
| In the asteroid game view, double the asteroid sizes, make missiles much larger and strong enough to obliterate any asteroid caught in the blast, prune off-screen small asteroids when entity counts get too high, and add layered stationary/parallax star fields that can pass in front of the ship, asteroids, and weapon fire. | Done |
| In the asteroid game view, make the new asteroid sizing 25% smaller than the last pass and double the number of generated asteroids. | Done |
| Instead of starting with the player-count question, add a `Multiplayer` title item with `Two Beings` onward as mode choices, and make the post-warm splash wait on a `Press A to continue` start screen before entering the title menu. | Done |
| In Review Life, fully retire the old CSV migration and playback path so review mode only loads binary `.slif` recordings. | Done |
| Fully remove Ant Farm for now so it no longer exists in Starry Messenger or appears on the title screen. | Done |
| Remove the retired player-count scene from the packaged app and add a safer Playdate install step that waits for the device drive and retries deployment. | Done |
| Fix Review Life binary playback indexing so `.slif` frame scanning does not rely on an unavailable current-seek constant on device. | Done |
| Make the Playdate launcher thumbnail use the same splash-screen presentation shown when Starry Messenger first starts. | Done |
| When going back to the main menu, start where the user just left. So if I were playing Game of Life, for example, I would return to the menu where I left off. Controls from the game would no longer interact with the game. | Done |
| Is there a way to have you auto push the app to play date through the simulator? Is there an API, perhaps? The SDK? But that would take a while to reach the device. | See Answer |
| Please make a sound folder for each view in Starry Messenger on the play date that will play each contained mp3 on loop. | Done |
| When A is pressed after rotation move, please adjust the warp speed star turning behavior to be like trippy mode and Starry Messenger example in Processing. This leaves the center centered while the stars are worked around and maintain the speed and direction of those stars movements until the user uses the arrow keys to adjust the speed and velocity in the direction. | Done |
| Do not limit the Warp Speed auto-rotate speed. | Done |
| Is there a way to keep the screen on when this app is open only? | Not Started |
| Please limit sparks to a limit of 200. And if a firework pops, ensure sparks randomly in all other bursts of fireworks should despawn to make space. If all the other fireworks dissipated eventually to accommodate the burst that the player's making, that's okay. | Done |
| Also please do not limit fireworks. Let's find where it breaks. | Done |
| For all views, please simply let the view continue running unless the player presses B again at the main menu. | Superseded |
| Please ensure that when the user moves to another menu item, end the last view unless any view explicitly has functionality otherwise. | Done |
| Can you confirm that a view's instance is fully not running when the player moves to another view? I've noticed that if I am going through instances without resetting, all views collectively slow down. | Answered |
| Please ensure we always reset view fresh and cleanly when entered. | Superseded |
| Wait a tick, we only want to cut off the connection from anywhere except from title to view or view to instance. If the save state is retained in any way after the player moves to another title, that old state should be dumped so each view is freshly restarted. If anything was changed that cut that functionality, please restore it | Superseded |
| Please ensure the title screen's game is the same when the player is entering it from the title menu. This will prevent any jumping between the title and the game. | Done |
| Please enable the view to title too. When the player leaves the playing view by transitioning to another view via title, then all past saved data should be dumped to save resources for the next view. | Done |
| When B is pressed on the title menu, the view resets, right? Are there exceptions? | Answered |
| When B is used in Warp Speed, return the star's speed to speed 9. | Done |
| Please adjust the max explosion height for fireworks to 95%. | Done |
| The playboy app isn't opening since our last update. Do you have any way to investigate and remediate it? If not add logging to figure it out. | Done |
| Please add all prompts used in this chat so far and add them to this tracking list. Output it to the directory. | Done |

##### Additional Tonight Requests
| Request | Status |
| --- | --- |
| When stars in warp speed are falling inward, they currently do not respond. At any speed, and at any time, if any part of the star enters the center zone of the screen, despawn it. Currently it's just collecting so the simulation doesn't continue. | Done |
| Are folders for sound files and the sound file integration into each individual view implemented? | Answered |
| When the stars are moving inward in warp speed (neg speed), please make the starting despawn zone smaller, then incrementally expand. | Done |
| When the crank is turned while in rotational mode in warp speed and star fall, does that rotational speed keep going, and does the user's continued crank turning forward and back continue to change that continuous speed. | Answered and Updated |
| In warp speed's second A mode, please make the speed only spin directly based on the crank's spinning. Then on the third mode, remove the crank's current mapping to speed and replace it with changing the rotation speed. In these modes, the speed is static. | Done |
| In the fishy pond, instead of bouncing the fish off the wall, have them float over to the other side. If they hit the ceiling or ground, they bounce. Also when the crank is used, it moves the current speed up and down. Instead, change the behavior so it instead temporarily affects the fish. The faster the user spins it, the harder the current, but once they stop, the fish float to a slow redirect back to their own devices. | Done |
| Make the stars bigger and add more stars in Star Fall. | Done |
| Make the Fishy bubble blower a little triangular mountain peeking out of the sand, and have mountain raise-and-pop vents happen before blower bubbles and random mud bubbles. | Done |
| Before committing to git, check whether anything sensitive or machine-local should be ignored. | Done |
| Please add a note to agents to commit and push our changes going forward. | Done |
| Please set logging to just Error. Logs like the repeated Game of Life rewind and step requests may be causing lag. | Done |
| Please combine Fishy Pond and Fishy Pond Idle into just Fishy Pond. Allow the player to be able to control the fish with the D pad. | Done |
| In The Game of Life, if the crank is stopped at the top most and bottom most position, or the crank is put into the console, automatically resume playing without delay. | Done |
| Please make CRTTV to full screen and remove any scrubbing functionality. From the Title screen, please make a static pair of static frames and bounce back and forth. | Done |
| Please make the shared-audio folder play when falling stars and warp speed. Please add AirplaneAmbiance from shared-ambiance to CRT TV and Orbital Defense. | Done |
| Please move the shared audio assets from the built StarryMessenger.pdx package into the source tree. | Done |
| Please give the GIF player its own spot on the rotary. While the user spins the rotary, pause the current title preview view and resume normal behavior after half a second of settling or when A is pressed. | Done |
| Please make and save a GIF-to-Playdate image adapter, then convert the linked GIFs into selectable GIF Player assets using each GIF's title. | Done |
| In GIF Player, make A cycle through invert and animation spin behavior, use the crank to change GIF speed in spin mode, and hide surrounding text during fullscreen playback while keeping instructions only in the chooser. | Done |
| In GIF Player, pressing B should return from fullscreen playback to the GIF selector first, and only return to the main menu when B is pressed again from the selector. | Done |
| Fix the title menu crash when cranking causes a warp preview to draw before its cached line coordinates are initialized, producing `systems/starfield.lua:629 drawLine` errors. | Done |
| Revert `Fix title menu labels and ant title contrast` because the menu/title behavior became worse after that change. | Done |
| Convert the newly provided Tenor GIFs into Gif Player assets and rotate portrait sources to landscape before scaling so they use the Playdate screen better. | Done |
| Remove CRT TV for now so Gif Player is GIF-only until the static mode can be cleaned up and reintroduced later. | Done |
| Update the GIF adapter so portrait GIFs only rotate to landscape when explicitly requested instead of rotating by default. | Done |
| Bulk rotate `drunk-gif-drunk-table-*` and `inflatable-tube-man-air-dancer-gif-inflatable-tube-man-air-dancer-wind-balloon-table-*` clockwise once. | Done |
| Make a new `CRT TV` view with old-TV static, optional rolling transparent bars on A, crank-controlled temporary bar-speed changes that release after 2 seconds or crank top/bottom, and a title preview that bounces between its first two frames. | Done |
| When viewing Ant Farm from the title screen, make all title text invert the same way Inverse Fall and Inverse Warp do. | Done |

##### Orbital Defense
| Request | Status |
| --- | --- |
| When uploading Orbital Defense to the Playdate, the install failed with Windows cloud file provider errors copying from OneDrive-backed files. | Answered |
| In the Orbital Defense game, move the orbital ring into a circular shape around the Earth. Player 1 is on the top left, and player 2 is on the top right of the Earth. Then they can shoot up and over to the incoming enemies. | Not Started |

##### Ant Farm
| Request | Status |
| --- | --- |
| In the ant game, when the ant is dropped, the ant placed doesn't appear to move. Please ensure that the ants make lines in the dark soil area and randomly start making tunnels. | Done |
| Please invert the color of the title on the ant scene. The current setup rendered the text unreadable with the black on black. | Done |
| The text is still all black when the ant view is being looked at. Please ensure the title is white - inverted like the inverted text modes. | Done |

##### Gif Player
| Request | Status |
| --- | --- |
| Add additional GIF Player debug logging around category navigation and audio-folder resolution so the persistent on-device category crash can be diagnosed. | Done |
| When in the gif app and moving down through the categories, fix the `systems/gifplayer.lua:71 bad argument #2 to 'format' (number has no integer representation)` crash. | Done |
| In GIF Player, remove the remaining integer-only formatter paths and further harden the hash/display helpers against non-integer number values. | Done |
| Please combine gif player into a view in Starry Messenger while keeping the GIF conversion script as a separate project-side step. | Done |
| Please make a static effect like an old crt tv. If the crank is used, pause the effect and move it forward and back as the user wants, though don’t remember anything. Just have it slow the static effect or make it fuzzy faster. When A is pressed, make a transparent bar-like effect that slowly scroll down the screen and repeat when it goes off screen. Also have a smaller bar that moves at a randomly fast or slower speed each time it goes off screen. In this mode, the crank moves both of them faster or slower, then release after the crank has been left unchanged for 2 seconds or the crank is put into the top move of bottom most points. | Done |
| Please make an image to pixel adapter that will map each gif’s image to the Playdate’s pixels. Convert proportionately the source gif’s size, shrink it to the play date’s size, then convert the shrink image to a bit map that will be stored in a new app called “gif player”. When loaded up, the user can make the choice of what gif to play. The crank is then used to move the gif forward and back, then b is used to go back. Allow A to invert the color of the pixels. | Done |
